RG_68,RG_69,RG_71,RG_35,RG_66,RG_23,RG_04,RG_25,RG_58,RG_38,RG_19,RG_70,RG_45,RG_17,RG_62
25.0,42.0,22.0,28.0,6.0,17.0,10.0,20.0,16.0,7.0,10.0,11.0,9.0,17.0,14.0
59.0,116.0,39.0,36.0,15.0,36.0,25.0,36.0,16.0,29.0,30.0,32.0,14.0,50.0,15.0
37.0,52.0,49.0,38.0,22.0,21.0,24.0,30.0,15.0,9.0,13.0,17.0,21.0,17.0,21.0
85.0,112.0,56.0,81.0,26.0,68.0,55.0,42.0,39.0,30.0,33.0,20.0,38.0,47.0,34.0
54.0,57.0,31.0,33.0,21.0,32.0,27.0,21.0,10.0,18.0,17.0,16.0,12.0,17.0,9.0
49.0,72.0,39.0,52.0,39.0,47.0,30.0,39.0,23.0,24.0,21.0,20.0,20.0,25.0,21.0
88.0,132.0,36.0,64.0,23.0,58.0,39.0,51.0,51.0,32.0,31.0,34.0,23.0,30.0,27.0
66.0,78.0,27.0,68.0,26.0,25.0,18.0,31.0,17.0,18.0,31.0,33.0,11.0,11.0,15.0
41.0,45.0,33.0,37.0,11.0,26.0,9.0,25.0,21.0,6.0,19.0,10.0,20.0,11.0,7.0
71.0,75.0,28.0,41.0,20.0,30.0,35.0,15.0,19.0,23.0,17.0,31.0,31.0,16.0,7.0
82.0,109.0,35.0,63.0,42.0,35.0,21.0,25.0,23.0,45.0,14.0,35.0,35.0,8.0,15.0
62.0,94.0,25.0,46.0,34.0,23.0,27.0,35.0,26.0,25.0,8.0,30.0,21.0,14.0,10.0
26.0,43.0,11.0,37.0,14.0,17.0,9.0,14.0,21.0,18.0,5.0,23.0,12.0,9.0,4.0
27.0,46.0,17.0,27.0,20.0,20.0,8.0,17.0,4.0,20.0,3.0,16.0,14.0,8.0,3.0
44.0,47.0,16.0,41.0,20.0,28.0,17.0,11.0,14.0,10.0,8.0,15.0,17.0,8.0,10.0
54.0,48.0,33.0,27.0,18.0,25.0,30.0,35.0,31.0,14.0,5.0,14.0,24.0,14.0,15.0
25.0,65.0,32.0,41.0,24.0,32.0,33.0,18.0,22.0,14.0,21.0,9.0,13.0,16.0,16.0
36.0,33.0,27.0,20.0,35.0,19.0,16.0,27.0,7.0,12.0,14.0,19.0,26.0,15.0,4.0
32.0,64.0,20.0,47.0,29.0,32.0,20.0,28.0,13.0,21.0,14.0,29.0,15.0,25.0,11.0
60.0,67.0,51.0,36.0,17.0,28.0,11.0,26.0,23.0,18.0,16.0,37.0,29.0,23.0,15.0
64.0,53.0,42.0,34.0,34.0,27.0,19.0,22.0,42.0,18.0,15.0,28.0,24.0,19.0,14.0
45.0,24.0,20.0,18.0,32.0,23.0,24.0,16.0,20.0,12.0,22.0,24.0,14.0,10.0,8.0
48.0,30.0,24.0,28.0,31.0,31.0,14.0,18.0,22.0,18.0,22.0,27.0,15.0,22.0,13.0
31.0,31.0,16.0,26.0,25.0,7.0,6.0,9.0,13.0,11.0,11.0,13.0,12.0,12.0,3.0
33.0,24.0,14.0,13.0,12.0,11.0,18.0,12.0,11.0,10.0,11.0,8.0,13.0,10.0,6.0
29.0,21.0,8.0,11.0,17.0,7.0,4.0,3.0,8.0,0.0,3.0,7.0,5.0,12.0,6.0
27.0,29.0,15.0,11.0,5.0,16.0,6.0,12.0,16.0,8.0,5.0,18.0,10.0,3.0,1.0
32.0,49.0,28.0,18.0,18.0,19.0,11.0,15.0,17.0,8.0,10.0,17.0,4.0,7.0,2.0
32.0,37.0,27.0,18.0,18.0,21.0,14.0,17.0,26.0,6.0,12.0,12.0,7.0,4.0,4.0
24.0,33.0,11.0,17.0,7.0,12.0,13.0,5.0,12.0,2.0,12.0,11.0,4.0,3.0,7.0
18.0,31.0,21.0,22.0,4.0,13.0,11.0,11.0,21.0,5.0,17.0,3.0,2.0,5.0,8.0
24.0,30.0,11.0,10.0,9.0,8.0,13.0,17.0,20.0,5.0,15.0,11.0,4.0,3.0,12.0
37.0,34.0,16.0,26.0,12.0,10.0,15.0,15.0,21.0,11.0,9.0,11.0,12.0,12.0,7.0
13.0,21.0,26.0,11.0,11.0,8.0,3.0,10.0,13.0,9.0,10.0,8.0,7.0,1.0,5.0
15.0,11.0,9.0,18.0,2.0,1.0,6.0,13.0,9.0,2.0,1.0,7.0,1.0,5.0,9.0
13.0,20.0,21.0,11.0,5.0,6.0,7.0,10.0,6.0,5.0,3.0,10.0,7.0,7.0,2.0
49.0,51.0,28.0,35.0,9.0,25.0,17.0,26.0,20.0,19.0,7.0,10.0,37.0,0.0,13.0
45.0,50.0,42.0,32.0,32.0,22.0,13.0,23.0,19.0,6.0,7.0,28.0,18.0,8.0,13.0
39.0,30.0,35.0,48.0,8.0,15.0,16.0,15.0,9.0,10.0,10.0,20.0,16.0,6.0,10.0
18.0,39.0,22.0,12.0,10.0,15.0,7.0,14.0,13.0,9.0,12.0,11.0,14.0,14.0,14.0
35.0,54.0,25.0,26.0,12.0,12.0,3.0,9.0,16.0,15.0,13.0,17.0,12.0,17.0,8.0
32.0,66.0,34.0,17.0,28.0,21.0,4.0,19.0,6.0,7.0,20.0,34.0,17.0,16.0,9.0
42.0,54.0,33.0,16.0,11.0,7.0,5.0,16.0,10.0,10.0,14.0,22.0,3.0,3.0,5.0
